ID,College Name,City,State,NIRF Management Rank 2025,Course Category,Data Status
1,Indian Institute of Management Ahmedabad,Ahmedabad,Gujarat,1,MBA / PGDM,NIRF 2025 verified
2,Indian Institute of Management Bangalore,Bengaluru,Karnataka,2,MBA / PGDM,NIRF 2025 verified
3,Indian Institute of Management Kozhikode,Kozhikode,Kerala,3,MBA / PGDM,NIRF 2025 verified
4,Indian Institute of Technology Delhi,New Delhi,Delhi,4,MBA / PGDM,NIRF 2025 verified
5,Indian Institute of Management Lucknow,Lucknow,Uttar Pradesh,5,MBA / PGDM,NIRF 2025 verified
6,Indian Institute of Management Mumbai,Mumbai,Maharashtra,6,MBA / PGDM,NIRF 2025 verified
7,Indian Institute of Management Calcutta,Kolkata,West Bengal,7,MBA / PGDM,NIRF 2025 verified
8,Indian Institute of Management Indore,Indore,Madhya Pradesh,8,MBA / PGDM,NIRF 2025 verified
9,Management Development Institute,Gurugram,Haryana,9,MBA / PGDM,NIRF 2025 verified
10,XLRI - Xavier School of Management,Jamshedpur,Jharkhand,10,MBA / PGDM,NIRF 2025 verified
11,Symbiosis Institute of Business Management,Pune,Maharashtra,11,MBA / PGDM,NIRF 2025 verified
12,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,12,MBA / PGDM,NIRF 2025 verified
13,Indian Institute of Technology Madras,Chennai,Tamil Nadu,13,MBA / PGDM,NIRF 2025 verified
14,Indian Institute of Technology Bombay,Mumbai,Maharashtra,14,MBA / PGDM,NIRF 2025 verified
15,Indian Institute of Management Raipur,Raipur,Chhattisgarh,15,MBA / PGDM,NIRF 2025 verified
16,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,Tamil Nadu,16,MBA / PGDM,NIRF 2025 verified
17,Indian Institute of Foreign Trade,New Delhi,Delhi,17,MBA / PGDM,NIRF 2025 verified
18,Indian Institute of Management Ranchi,Ranchi,Jharkhand,18,MBA / PGDM,NIRF 2025 verified
19,Indian Institute of Management Rohtak,Rohtak,Haryana,19,MBA / PGDM,NIRF 2025 verified
20,S. P. Jain Institute of Management & Research,Mumbai,Maharashtra,20,MBA / PGDM,NIRF 2025 verified
21,Indian Institute of Management Udaipur,Udaipur,Rajasthan,21,MBA / PGDM,NIRF 2025 verified
22,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,22,MBA / PGDM,NIRF 2025 verified
23,Indian Institute of Management Kashipur,Kashipur,Uttarakhand,23,MBA / PGDM,NIRF 2025 verified
24,SVKM's Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,24,MBA / PGDM,NIRF 2025 verified
