rank,college_name,official_website
30,Institute of Management Technology,https://www.imt.edu
31,Indian Institute of Management Bodh Gaya,https://www.iimbg.ac.in
32,Chandigarh University,https://www.cuchd.in
33,MICA,https://www.mica.ac.in
34,Indian Institute of Management Sambalpur,https://www.iimsambalpur.ac.in
35,Indian Institute of Management Jammu (IIMJ),https://www.iimj.ac.in
36,UPES,https://www.upes.ac.in
37,Great Lakes Institute of Management,https://www.greatlakes.edu.in
38,Indian Institute of Management Shillong,https://www.iimshillong.ac.in
39,T. A. Pai Management Institute Manipal,https://www.tapmi.edu.in
